Follower count:,Post ID,Media Type:,Caption,Likes,Comments,Timestamp,Tags:
303164617,3150534526366647631,2,"The @matildas are surging today as they prepare to inspire a whole new generation. Everything they give to the game today, they give to the future of football.
#AllForTomorrow #NikeFC",39209,307,2023-07-19 19:02:00+00:00,"[{'username': 'nike', 'followers': 303164617}, {'username': 'katrinagorry10', 'followers': 54726}, {'username': 'samanthakerr20', 'followers': 1370567}, {'username': 'hayleyraso', 'followers': 159805}, {'username': 'matildas', 'followers': 304551}, {'username': 'elliecarpenterr', 'followers': 273314}, {'username': 'alannakennedy', 'followers': 128172}]"
303164617,3150399305494785283,2,"🔊🔊🔊UP

@kvinnelandslaget forward @ahegerberg is already one of this generation’s football legends—she is UNSTOPPABLE—and is making her second appearance on the world’s biggest stage.

No one is more prepared for the spotlight than Ada. Huddle up and hear what she tells herself in the biggest moments. #NikeFC",30311,280,2023-07-19 14:29:44+00:00,"[{'username': 'nike', 'followers': 303164617}, {'username': 'ahegerberg', 'followers': 836691}, {'username': 'kvinnelandslaget', 'followers': 66115}]"
303164617,3150265339216397894,8,"The world’s biggest event is almost here—and the game has never been bigger.

All over the world, attendance records have been shattered and football’s biggest stars are more visible than ever. From the stands to the sidelines, history is happening and the banners are flying. This tournament is one of the most consequential moments in the history of football.

And it’s. Finally. Here. 

Drop the flag of who you’re supporting! 👇

#NikeFC",53852,366,2023-07-19 10:01:54+00:00,"[{'username': 'thekfa', 'followers': 760285}, {'username': 'uswnt', 'followers': 2314932}, {'username': 'nike', 'followers': 303164617}, {'username': 'oranjeleeuwinnen', 'followers': 372673}, {'username': 'matildas', 'followers': 304551}, {'username': 'lionesses', 'followers': 928085}]"
303164617,3150174465358250160,2,"From superstitions 🤞 to statement colors 💥, see what @samanthakerr20, @sophsssmith, @cdunn19 & @asisat_oshoala had to say about a footballer’s most trusted item: their boots ✨⚽

Which boot is your fav? Tell us in the comments👇",55449,244,2023-07-19 07:10:12+00:00,"[{'username': 'samanthakerr20', 'followers': 1370567}, {'username': 'nikefootball', 'followers': 45672129}, {'username': 'cdunn19', 'followers': 342049}, {'username': 'sophsssmith', 'followers': 285937}, {'username': 'asisat_oshoala', 'followers': 1040076}]"
303164617,3149817342887461973,2,"Five 🔥 new workouts starring some of the best football athletes in the world are now live in the Nike Training Club app and coming soon to Netflix on July 26 (❗). Featuring Lucy Bronze 🏴󠁧󠁢󠁥󠁮󠁧󠁿 , Debinha 🇧🇷, Sophia Smith 🇺🇸, Asisat Oshoala 🇳🇬 , Grace Geyoro 🇫🇷 and three in-the-know @nikewellcollective trainers, you score all the movements, laughs and real talk you could ever need to feel like a baller — even if you’ve never stepped foot on a pitch.

So watch the games from your sofa, then get moving with footy’s faves right next to it. Yeah... We got you. #NikeFC",137533,406,2023-07-18 19:15:20+00:00,"[{'username': 'netflix', 'followers': 33074766}]"
303164617,3149750955771035785,8,"Meet the new Nike Swoosh Bra ✔️

Engineered to feel more secure, its lightweight fabric has just the right amount of stretch and rebound, while Dri-FIT technology enables faster sweat evaporation so you can stay dry.

This Nike Swoosh Bra has been created in three support levels - because no person, and no game, is the same. Now you can match coverage and compression with the intensity of your workout. So whoever you are, however you move, do it with a sports bra that’s all in for you.

Click the link in bio to learn more about the Nike Swoosh Bra. ❤️ 🔥
#NikeSwooshBra",55909,284,2023-07-18 16:59:55+00:00,"[{'username': 'keishaballa', 'followers': 85190}, {'username': 'nikefootball', 'followers': 45672129}, {'username': 'debinhaa7', 'followers': 531732}, {'username': 'chloekelly', 'followers': 600500}, {'username': 'lavellerose', 'followers': 560548}, {'username': 'sophsssmith', 'followers': 285937}, {'username': 'nikewomen', 'followers': 7179273}, {'username': 'rasheedatt10', 'followers': 172824}, {'username': 'asisat_oshoala', 'followers': 1040076}]"
303164617,3149720856254454909,8,"Tailored for success. @nike x @martine_rose elevates squad style with a suiting collection for the USWNT.

Shop the Nike x Martine Rose collection July 25 on martine-rose.com and July 27 on SNKRS in select geographies.",116643,533,2023-07-18 16:00:07+00:00,"[{'username': 'martine_rose', 'followers': 309715}, {'username': 'naomi_girma', 'followers': 84776}, {'username': 'sophsssmith', 'followers': 285937}, {'username': 'nikewomen', 'followers': 7179273}, {'username': 'mrapinoe', 'followers': 2191412}]"
303164617,3148722357778034639,2,"A slippery banana peel. A 24-year nap. And a fever dream full of football’s greatest athletes. This is football in 2023—it’s a great day to be awake.

Our starting 11: Ada Hegerberg @ahegerberg, Alex Morgan @alexmorgan13, Asisat Oshoala @asisat_oshoala, Chloe Kelly @chloekelly, Debinha @debinhaa7, Grace Geyoro @grace_geyoro, Kadeisha Buchanan @keishaballa, Megan Rapinoe @mrapinoe, Sam Kerr @samanthakerr20, Sophia Smith @sophsssmith, Wang Shuang @wang_shuang7

Know their names. Know their game. #JustDoIt #NikeFC",169491,1165,2023-07-17 07:00:01+00:00,"[{'username': 'wang_shuang7', 'followers': 66616}, {'username': 'samanthakerr20', 'followers': 1370567}, {'username': 'keishaballa', 'followers': 85190}, {'username': 'alexmorgan13', 'followers': 10225094}, {'username': 'nikefootball', 'followers': 45672129}, {'username': 'debinhaa7', 'followers': 531732}, {'username': 'chloekelly', 'followers': 600500}, {'username': 'ahegerberg', 'followers': 836691}, {'username': 'sophsssmith', 'followers': 285937}, {'username': 'grace_geyoro', 'followers': 165533}, {'username': 'mrapinoe', 'followers': 2191412}, {'username': 'brandichastain', 'followers': 20244}, {'username': 'asisat_oshoala', 'followers': 1040076}]"
303164617,3148460192572352349,1,𝔜𝔬𝔲𝔫𝔤 𝔓𝔯𝔦𝔫𝔠𝔢 ➛ 𝓨𝔬𝔲𝔫𝔤 𝓚𝔦𝔫𝔤,125891,424,2023-07-16 22:15:24+00:00,"[{'username': 'carlitosalcarazz', 'followers': 3991293}, {'username': 'nikesportswear', 'followers': 7913492}]"
303164617,3148430281228994285,8,"Tea Is Served 🎾

Congratulations @diededegroot, @tokitooda, and @nielsvink on an incredible week of becoming champions in London. The grass is greener when you’re taking home a major title 🏆",135060,386,2023-07-16 21:15:58+00:00,"[{'username': 'tokitooda', 'followers': 15162}, {'username': 'diededegroot', 'followers': 9716}, {'username': 'nielsvink', 'followers': 8002}]"
